"package",'version",'option",'platform",'dependency",'package_provider",'compiled_with",'composite",'section",'spack_matches",'spack_match_100"
"mosek","{'9.1.12'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('elk', 72), ('perl-moose', 72), ('py-mouseinfo', 72), ('py-sacremoses', 72)",NONE
"mothur","{'1.41.3'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'1.41.3-bindist'}","applications","('mothur', 100), ('r', 90), ('mosh', 68), ('r-kernsmooth', 66)",mothur
"mpb","{'1.5', '1.9.0'}",NONE,NONE,"{'hdf5', 'ompi'}",NONE,"{'gnu-4.9.2'}","{'1.5-ompi', '1.9.0-hdf5-ompi'}","applications","('advancecomp', 72), ('apcomp', 72), ('assimp', 72), ('bgpdump', 72)",NONE
"mrbayes","{'3.2.5'}","{'mpi', 'serial'}",NONE,NONE,NONE,"{'intel-2015-update2'}",NONE,"applications","('mrbayes', 100), ('r', 90), ('r-bayesm', 80), ('revbayes', 80)",mrbayes
"mrtrix","{'0.3.12', '3.0rc3', '0.3.16'}","{'nogui'}",NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('mrtrix3', 92), ('r', 90), ('perl-math-matrixreal', 75), ('r-delayedmatrixstats', 75)",NONE
"mstor","{'2013'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('r', 90), ('storm', 80), ('jstorm', 73), ('muster', 73)",NONE
"mumax","{'3.10', '3.9.3'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'3.10-bindist'}","applications","('mumax', 100), ('axl', 72), ('madx', 67), ('memaxes', 67)",mumax
"mummer","{'3.23'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('mummer', 100), ('mummer4', 92), ('er', 90), ('r', 90)",mummer
"muscle","{'3.8.31'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('muscle', 100), ('c', 90), ('muse', 80), ('musl', 80)",muscle
"mutect","{'1.1.7'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('r-permute', 72), ('muse', 68), ('must', 68)",NONE
"namd","{'2.14', '2.13', '2.11', '2.10', '2.12'}","{'ofi', 'multicore', 'smp', 'plumed'}","{'gpu'}",NONE,NONE,"{'intel-2018-update3', 'intel-2019', 'intel-2015-update2', 'intel-2017-update1'}","{'multicore-gpu', 'ofi-smp-gpu', 'ofi-smp'}","applications","('namd', 100), ('nasm', 75), ('amd-aocl', 68), ('amdblis', 68)",namd
"nco","{'4.5.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('nco', 100), ('c', 90), ('libqrencode', 90), ('motioncor2', 90)",nco
"nektar++","{'4.3.5'}",NONE,NONE,"{'ompi', 'impi'}",NONE,"{'gnu-4.9.2', 'intel-2017-update1'}","{'4.3.5-ompi', '4.3.5-impi'}","applications","('nektar', 100), ('r', 90), ('tar', 90), ('nekrs', 73)",nektar
"ngsutils","{'0.5.9'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('nfs-utils', 82), ('binutils', 75), ('usbutils', 75), ('lsf', 72)",NONE
"nighres","{'1.1.0b'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('gh', 90), ('r', 90), ('grep', 68), ('bigreqsproto', 64)",NONE
"nonmem","{'7.3.0'}",NONE,NONE,NONE,NONE,"{'intel-2015-update2', 'gnu-4.9.2'}",NONE,"applications","('meme', 77), ('mfem', 77), ('py-python-memcached', 75), ('cnmem', 73)",NONE
"novocraft","{'3.04.06'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('raft', 90), ('fmt', 72), ('ftk', 72), ('fxt', 72)",NONE
