"package",'version",'option",'platform",'dependency",'package_provider",'compiled_with",'composite",'section",'spack_matches",'spack_match_100"
"elk","{'5.2.14', '6.8.4', '4.0.15', '4.3.6'}",NONE,NONE,NONE,NONE,"{'intel-2017+wa', 'intel-2018+wa', 'intel-2018', 'intel-2017'}",NONE,"applications","('elk', 100), ('strelka', 90), ('apfel', 72), ('bazel', 72)",elk
"energyplus","{'9.1.0', '8.9.0'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'8.9.0-bindist', '9.1.0-bindist'}","applications","('energyplus', 100), ('er', 90), ('erne', 68), ('gptl', 68)",energyplus
"envi","{'5.5.3', '5.5.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('environment-modules', 90), ('py-envisage', 90), ('py-md-environ', 90), ('direnv', 77)",NONE
"epacts","{'3.3.0'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('acts', 90), ('c', 90), ('py-geneimpacts', 75), ('repeatscout', 75)",NONE
"examl","{'8dcf2cc'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('examl', 100), ('aml', 90), ('exa', 90), ('r-rnexml', 80)",examl
"exonerate","{'2.2.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('exonerate', 100), ('er', 90), ('exonerate-gff3', 90), ('ratel', 80)",exonerate
"fasta","{'36.3.8d'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('fasta', 100), ('any2fasta', 90), ('cdbfasta', 90), ('py-fastai', 90)",fasta
"fastqc","{'0.11.5', '0.11.8'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('fastqc', 100), ('c', 90), ('bcl2fastq2', 75), ('fastq-screen', 75)",fastqc
"ffmpeg","{'4.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('ffmpeg', 100), ('py-imageio-ffmpeg', 90), ('mpe2', 68), ('fimpute', 62)",ffmpeg
"fgbio","{'0.5.1', '0.6.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('fio', 75), ('ico', 72), ('ior', 72), ('py-deepsig-biocomp', 72)",NONE
"figtree","{'1.4.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('figtree', 100), ('r', 90), ('tree', 90), ('eem', 72)",figtree
"foldx","{'4', '5'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('py-alphafold', 80), ('randfold', 80), ('fox', 75), ('py-mxfold2', 72)",NONE
"freesurfer","{'6.0.0', '5.3.0', '7.2.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('freesurfer', 100), ('er', 90), ('memsurfer', 74), ('freefem', 71)",freesurfer
"fsl","{'6.0.0', '5.0.10', '5.0.9', '6.0.4'}",NONE,NONE,"{'cuda'}",NONE,NONE,"{'6.0.0_cuda'}","applications","('fsl', 100), ('fslsfonts', 90), ('sl', 90), ('fgsl', 86)",fsl
"gamess","{'5Dec2014_R1'}",NONE,NONE,NONE,NONE,"{'intel-2015-update2'}",NONE,"applications","('gamess-ri-mp2-miniapp', 90), ('gams', 80), ('essl', 77), ('r-gamlss-data', 75)",NONE
"gatk","{'4.0.8.0', '4.2.5.0', '3.4.46', '3.8.0', '4.2.1.0', '4.0.3.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('gatk', 100), ('tk', 90), ('atk', 86), ('py-pygtk', 77)",gatk
"gaussian","{'g16-a03', 'g09-d01', 'g16-c01', 'g09-c01', 'g09-c01_linda'}",NONE,NONE,NONE,NONE,"{'pgi-2018.10', 'pgi-2015.4', 'pgi-2015.7', 'pgi-2013.9', 'pgi-2016.5'}",NONE,"applications","('gaussian', 100), ('gaussian-src', 90), ('gaussian-view', 90), ('ant', 72)",gaussian
"gcta","{'1.93.2beta'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('gcta', 100), ('c', 90), ('libgta', 77), ('octa', 75)",gcta
"gdal","{'2.1.1', '2.1.4', '3.0.4', '2.0.0'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('gdal', 100), ('py-pygdal', 90), ('r-gdalutilities', 90), ('r-gdalutils', 90)",gdal
"gephi","{'0.9.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('hip', 72), ('grep', 67), ('graphlib', 62), ('graphviz', 62)",NONE
"ghostscript","{'9.19', '9.16'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('ghostscript', 100), ('gh', 90), ('ghost', 90), ('ghostscript-fonts', 90)",ghostscript
"gmsh","{'2.12.0'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'2.12.0-bindist'}","applications","('gmsh', 100), ('gams', 75), ('mash', 75), ('mosh', 75)",gmsh
"gmt","{'old', '5.1.2', '5.3.1', 'new', '5.4.5'}",NONE,NONE,NONE,"{'recommended'}",NONE,NONE,"bundles","('gmt', 100), ('gmtsar', 90), ('py-azure-mgmt-advisor', 90), ('py-azure-mgmt-batch', 90)",gmt
"gnuplot","{'5.0.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('gnuplot', 100), ('py-gnuplot', 95), ('ruby-gnuplot', 90), ('pgplot', 77)",gnuplot
